EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
357753,0.8606298305425648,800,503,124,379
357757,0.8610270447099679,800,513,122,391
357758,0.8608671441181956,800,520,132,388
357759,0.860052966407592,800,525,119,406
357761,0.2603135568263707,800,160,43,117
357762,0.40128184380620496,800,242,48,194
357763,0.8603457302317642,800,420,74,346
357766,0.1480782403838316,800,94,27,67
357767,0.40421265708271215,800,278,65,213
358406,0.861164327016592,800,570,156,414
358408,0.8603331830073673,800,551,128,423
358410,0.33341654670468956,800,210,67,143
358412,0.19331028691694213,800,105,33,72
358415,0.8598479841498371,800,541,128,413
358416,0.8610021113090045,800,461,102,359
358417,0.20986629190153042,800,157,53,104
358418,0.5154545335091776,800,305,83,222
358419,0.8601865881209768,800,545,124,421
358422,0.8607626783533306,800,515,117,398
358423,0.522209295493687,800,316,73,243
358426,0.8609032312069312,800,516,124,392
358432,0.8600367655088212,800,512,123,389
358434,0.07194962345901411,800,38,14,24
358435,0.19502768063067882,800,118,26,92
358438,0.8613497051432915,800,494,103,391
358439,0.8605458324575382,800,499,127,372
358445,0.019506024696815883,800,29,10,19
358453,0.8606603523791145,800,460,104,356
358456,0.8608757523522617,800,508,118,390
358457,0.8605980351666527,800,474,112,362
358460,0.8610625417393007,800,508,119,389
358461,0.8608457018468022,800,472,103,369
358462,0.8608767701759698,800,488,114,374
358469,0.4997958184075453,800,292,65,227
359032,0.008299651719683646,800,3,0,3
359033,0.6494250721084777,800,338,70,268
359035,0.46006987855178233,800,259,63,196
359036,0.8619338997773808,800,495,117,378
359037,0.5609300860371189,800,351,82,269
359038,0.8606383023713609,800,536,128,408
359039,0.039138323478922,800,32,9,23
359041,0.8603319996945407,800,535,141,394
359043,0.8612750477490511,800,465,103,362
359044,0.3869771300825315,800,247,61,186
359046,0.8598961965336722,800,484,106,378
359048,0.8606202784471518,800,532,136,396
359049,0.860941392612862,800,514,138,376
359051,0.557426070393772,800,347,78,269
359052,0.0034157079315639805,800,5,5,0
359053,0.860524070506931,800,480,126,354
359055,0.6755646074406569,800,409,97,312
359056,0.19713077168864804,800,109,32,77
359057,0.8569816804984478,800,505,136,369
359060,0.8609872134400476,800,528,130,398
359063,0.040493104824974833,800,27,12,15
359065,0.32879804030775234,800,199,50,149
359066,0.8605652474047714,800,540,134,406
359067,0.6047032403585932,800,323,74,249
359069,0.8605889923047298,800,517,137,380
359072,0.8606782425337706,800,458,88,370
359073,0.638056365723954,800,377,102,275
359081,0.3053097385745247,800,183,53,130
359086,0.860146854541643,800,516,123,393
359087,0.8608778190056378,800,518,116,402
359089,0.8609854992848445,800,455,105,350
359090,0.8606208126394879,800,532,129,403
359092,0.444709139789,800,261,64,197
359094,0.4068068868172292,800,237,71,166
359096,0.3967246931573032,800,210,44,166
359097,0.8609206557777392,800,535,123,412
359098,0.014598305091797777,800,8,2,6
359940,0.8601296798971694,800,562,153,409
359943,0.09991329574602907,800,64,12,52
359945,0.8602174293422782,800,509,121,388
359946,0.8608153374254776,800,524,135,389
359947,0.8599855506601564,800,468,102,366
359948,0.861503907774043,800,490,114,376
359954,0.1740388716840752,800,118,34,84
359955,0.23163744859056204,800,151,30,121
359957,0.6453840321006842,800,409,101,308
359958,0.8608567496988524,800,463,109,354
359964,0.33494490822922074,800,174,51,123
359968,0.5787693872147271,800,323,73,250
359971,0.8603274286293889,800,516,138,378
359972,0.26228320260251115,800,168,44,124
359974,0.44701494295950184,800,285,69,216
359975,0.8606601065806072,800,529,117,412
359977,0.2637495302772388,800,167,36,131
359978,0.8608671946392222,800,529,128,401
359979,0.23629610497726403,800,170,51,119
359980,0.8612293837828273,800,482,113,369
359982,0.1807449933347844,800,112,20,92
359983,0.8614262579551194,800,552,147,405
359985,0.10953468068000113,800,59,16,43
359989,0.511407533888554,800,289,64,225
359991,0.8602494358457409,800,470,88,382
359993,0.1500595937344425,800,102,32,70
359997,0.4788953860699265,800,350,99,251
359998,0.860551883571597,800,501,110,391
359999,0.8615886608785046,800,510,132,378
360000,0.8604894632944616,800,494,124,370
360001,0.6167860431454798,800,355,97,258
360009,0.8606051140029474,800,508,129,379
360500,0.8609782567119163,800,521,119,402
360505,0.8609535027853676,800,513,113,400
360506,0.14670442984782484,800,87,29,58
360510,0.8605031452953901,800,484,105,379
360511,0.33273244596318047,800,208,43,165
360513,0.8609808424129491,800,505,132,373
360514,0.8602547218324488,800,479,107,372
360517,0.8610391540387048,800,472,115,357
360519,0.5928416633531074,800,306,80,226
360520,0.8605228726463097,800,503,122,381
360522,0.3656494841835181,800,214,59,155
360524,0.06561592388721614,800,40,10,30
360525,0.8610842744458178,800,549,141,408
360526,0.8608504472638467,800,483,112,371
360527,0.8613154282307105,800,548,134,414
360528,0.8608837491426261,800,555,151,404
360531,0.8615023300330873,800,488,139,349
