EventID,Edep_MeV,#PE,#NoisePE
249,0.04142146479327526,30,6
250,0.10735540663389877,67,21
251,0.10756445527729071,70,18
252,0.10773464168569424,74,22
253,0.10775737962225755,51,11
254,0.1078170422717383,61,13
255,0.05071928518702511,29,11
256,0.04931824598131292,41,7
257,0.10765733163867183,69,19
258,0.10755363786431689,47,10
259,0.04932742555980573,35,10
260,0.04161293477440528,23,4
261,0.10754070317695698,59,11
262,0.10745974384992388,57,12
263,0.1075983577671756,63,18
264,0.10782170156715257,59,13
265,0.10769335256507587,69,26
266,0.10748226141122974,64,13
267,0.10768786484359263,59,17
268,0.10750214125145156,61,9
269,0.10765053685078328,85,26
